Source Bond,Source Bond,Auction Date,Settlement Date,Destination Bond,Highest Yield Allocated,Lowest Yield Allocated,Highest Yield Allocated in Full,Weighted Average Yield,Total Destination Amount Allocated,Worst Bid Yield,Nominal of Source Bond Switched,Total Number of Bids Received,Total Amount of All Bids Received,Total Number of Successful Bids
I2025,I2025 (2.00%:2025),2024/02/15,2024/02/20,I2029,4.41,4.4,4.41,4.40544,7441,4.52,6800,33,10975,17
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2029,4.52,4.51,4.52,4.51534,3186,4.6,2895,18,5545,8
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2038,5.11,5.1,5.11,5.10983,1944,5.18,1430,18,4590,6
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2043,5.11,5.11,5.11,5.11,972,5.18,1000,14,4825,2
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2029,0,0,0,0,0,4.50161,0,8,310,0
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2038,5.13,5.1,5.13,5.11714,4785,5.2,3500,17,4660,7
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2050,5.12,5.1,5.12,5.112,1944,5.12381,2500,13,4550,5
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2029,4.52,4.51,4.52,4.51534,3186,4.6,2895,18,5545,8
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2038,5.11,5.1,5.11,5.10983,1944,5.18,1430,18,4590,6
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2043,5.11,5.11,5.11,5.11,972,5.18,1000,14,4825,2
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2029,4.45,4.43,4.45,4.449,1482,4.57,1335,14,3665,3
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2046,5.07,5.02,5.07,5.069,1915,5.15,1290,14,1940,8
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2050,5.06,5.02,5.06,5.051,103,5.1,65,7,555,2
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2029,4.73,4.7,4.73,4.71279,1213,4.8,1095,21,3550,8
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2033,4.99,4.95,4.99,4.9682,688,5.02,555,14,685,11
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2050,5.05,5,5.05,5.03849,2718,5.07,1750,15,1815,13
I2025,I2025 (2.00%:2025),2024/08/15,2024/08/20,I2029,4.51,4.45,4.51,4.47906,1114,4.57,1015,18,1495,14
I2025,I2025 (2.00%:2025),2024/08/15,2024/08/20,I2033,4.91,4.87,4.91,4.89875,494,4.92,400,5,500,4
I2025,I2025 (2.00%:2025),2024/09/26,2024/10/01,I2029,4.36,4.3,4.36,4.35093,2007,4.4,1820,14,2055,12
I2025,I2025 (2.00%:2025),2024/09/26,2024/10/01,I2038,4.82,4.81,4.82,4.81978,1495,4.88,1135,7,1235,6
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2029,4.5,4.48,4.5,4.496,3283,4.55,2960,7,3160,5
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2038,4.95,4.91,4.95,4.92333,599,5,450,3,500,2
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2046,4.96,4.92,4.96,4.95739,1347,4.96,920,8,920,8
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2029,4.72,4.66,4.72,4.69841,475,4.77,425,17,700,9
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2046,5.09,5.065,5.09,5.08,841,5.1,565,8,575,7
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2050,5.1,5.08,5.1,5.09188,250,5.11,160,5,210,4
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2029,4.65,4.61,4.65,4.63798,991,4.65,890,8,890,8
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2046,4.88,4.88,4.88,4.88,79,4.88,55,1,55,1
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2050,4.88,4.88,4.88,4.88,113,4.89,75,3,85,2
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2035,11.7,11.69,11.7,11.69553,6019,11.79,4700,32,10500,12
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2037,12.1,12.1,12.1,12.1,822,12.2,600,24,5005,2
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2053,12.44,12.43,12.44,12.4367,1551,12.53,1440,33,5215,6
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2032,11.07,11.025,11.07,11.05984,1904,11.225,1600,20,4305,4
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2048,12.69,12.685,12.69,12.6885,2143,12.711,1430,19,5115,5
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2053,12.63,12.61,12.63,12.62268,2224,12.72,2050,14,3925,5
R_186,R186 (10.50%:2026),2024/04/18,2024/04/23,R_2035,12.25,12.25,12.25,12.62268,261,12.31,200,22,2630,1
R_186,R186 (10.50%:2026),2024/04/18,2024/04/23,R_2044,0,0,0,0,0,13.01122,0,10,820,0
R_186,R186 (10.50%:2026),2024/04/18,2024/04/23,R_2048,12.88,12.845,12.88,12.87207,1703,12.9024,1135,24,3340,7
R_186,R186 (10.50%:2026),2024/05/16,2024/05/21,R_2035,11.955,11.92,11.955,11.93917,773,12.08,600,19,1325,8
R_186,R186 (10.50%:2026),2024/05/16,2024/05/21,R_2040,12.6,12.55,12.6,12.57923,1950,12.63,1420,11,1870,7
R_186,R186 (10.50%:2026),2024/05/16,2024/05/21,R_2053,12.57,12.54,12.57,12.558,571,12.61,500,9,1000,3
R_186,R186 (10.50%:2026),2024/06/20,2024/06/25,R_2037,11.72,11.62,11.725,11.683,1786,11.83,1415,15,2250,7
R_186,R186 (10.50%:2026),2024/06/20,2024/06/25,R_2044,12.015,12.015,12.015,12.015,198,12.1,150,5,575,1
R_186,R186 (10.50%:2026),2024/06/20,2024/06/25,R_2048,11.92,11.87,11.92,11.89,1377,12.97,1030,14,1930,6
R_186,R186 (10.50%:2026),2024/07/25,2024/07/30,R_2037,11.32,11.28,11.32,11.30037,1056,12.53,815,12,1490,4
R_186,R186 (10.50%:2026),2024/07/25,2024/07/30,R_2040,11.53,11.49,11.53,11.512,966,12.51,750,8,950,6
R_186,R186 (10.50%:2026),2024/07/25,2024/07/30,R_2048,11.45,11.425,11.45,11.43875,775,12.44,600,18,1335,5
R_186,R186 (10.50%:2026),2024/08/15,2024/08/20,R_2037,10.99,10.93,10.985,10.94795,4790,11.05,3770,25,8730,17
R_186,R186 (10.50%:2026),2024/08/15,2024/08/20,R_2040,11.26,11.23,11.26,11.25,711,11.31,540,14,1290,7
R_186,R186 (10.50%:2026),2024/08/15,2024/08/20,R_2048,11.17,11.145,11.17,11.1587,873,11.22,690,11,1390,6
R_186,R186 (10.50%:2026),2024/09/26,2024/10/01,R_2037,10.405,10.38,10.405,10.3966,1259,10.445,1030,21,2.43,10
R_186,R186 (10.50%:2026),2024/09/26,2024/10/01,R_2040,10.645,10.635,10.645,10.64272,1223,10.675,1010,20,3.11,8
R_186,R186 (10.50%:2026),2024/09/26,2024/10/01,R_2053,10.68,10.645,10.68,10.67667,2689,10.685,2700,13,2.8,12
R_186,R186 (10.50%:2026),2024/10/17,2024/10/22,R_2037,10.95,10.9,10.95,10.93795,2456,11.01,1950,13,2450,7
R_186,R186 (10.50%:2026),2024/10/17,2024/10/22,R_2044,11.34,11.31,11.34,11.32,395,11.38,300,5,800,2
R_186,R186 (10.50%:2026),2024/10/17,2024/10/22,R_2048,11.25,11.22,11.25,11.23571,934,11.29,700,8,1350,4
R_186,R186 (10.50%:2026),2024/11/14,2024/11/19,R_2037,10.84,10.815,10.84,10.83,2220,11,1780,19,4240,8
R_186,R186 (10.50%:2026),2024/11/14,2024/11/19,R_2044,11.255,11.25,11.255,11.25318,215,11.29,165,10,795,3
R_186,R186 (10.50%:2026),2024/12/05,2024/12/10,R_2037,10.65,10.59,10.65,10.62522,2752,10.72,2235,19,3260,11
R_186,R186 (10.50%:2026),2024/12/05,2024/12/10,R_2040,10.96,10.92,10.96,10.94716,2333,10.97,1900,15,2660,12
R_186,R186 (10.50%:2026),2025/01/16,2025/01/21,R_2038,11.04,11.01,11.04,11.02757,1893,11.09,2235,21,3000,13
R_186,R186 (10.50%:2026),2025/01/16,2025/01/21,R_2044,11.38,11.34,11.38,11.35667,197,11.44,1900,7,500,3
R_186,R186 (10.50%:2026),2025/01/16,2025/01/21,R_2048,11.325,11.315,11.325,11.3225,254,11.395,NA,14,1080,3
R_2030,R2030 (8.00%:2030),2024/01/26,2024/01/31,R_2035,11.425,11.38,11.425,11.40976,1509,11.46,1440,9,2190,6
R_2030,R2030 (8.00%:2030),2024/01/26,2024/01/31,R_2037,11.89,11.83,11.89,11.85955,1301,11.89,1100,7,1100,7
R_2030,R2030 (8.00%:2030),2024/01/26,2024/01/31,R_2053,12.26,12.2,12.26,12.23861,974,12.26,1045,11,1045,11
R_2030,R2030 (10.875%:2030),2025/01/16,2025/01/21,R_2038,11.04,11.02,11.04,11.03,558,11.15,600,15,2095,3
R_2030,R2030 (10.875%:2030),2025/01/16,2025/01/21,R_2044,11.36,11.36,11.36,11.36,442,11.44,370,6,870,1
R_2030,R2030 (10.875%:2030),2025/01/16,2025/01/21,R_2048,11.325,11.325,11.325,11.325,461,11.37,400,6,900,1